pid,year,month,day,weight,quantity,value
P003,2021,7,10,270255,0,186341
P003,2021,7,20,254576,0,617014
P003,2021,7,30,22268828,0,3391899
P003,2021,8,10,102041,0,118213
P003,2021,8,20,347629,0,242071
P003,2021,8,30,40036000,0,6124850
P003,2021,9,10,136750,0,38058
P003,2021,9,20,491068,0,260578
P003,2021,9,30,219616,0,157215
P003,2021,10,10,235930,0,135417
P003,2021,10,20,226830,0,117422
P003,2021,10,30,96996024,0,16976220
P003,2021,11,10,220986,0,126744
P003,2021,11,20,101094,0,23576
P003,2021,11,30,44054276,0,8966006
P003,2021,12,10,81550,0,119021
P003,2021,12,20,302784,0,213456
P003,2021,12,30,265085,0,222371
P003,2022,1,10,293814,0,382777
P003,2022,1,20,3721575,0,1092179
P003,2022,1,30,52093944,0,11733407
P003,2022,2,10,695216,0,697671
P003,2022,2,20,36000,0,39297
P003,2022,2,30,11071740,0,1926376
P003,2022,3,10,43384976,0,7391735
P003,2022,3,20,5223131,0,1517137
P003,2022,3,30,5024710,0,1119445
P003,2022,4,10,11010008,0,2520400
P003,2022,4,20,95373472,0,17143392
P003,2022,4,30,45262284,0,12452694
P003,2022,5,10,113241,0,119638
P003,2022,5,20,22172612,0,6371912
P003,2022,5,30,69402,0,86415
P003,2022,6,10,54427636,0,15501687
P003,2022,6,20,10784880,0,3247305
P003,2022,6,30,1741465,0,1141686
P003,2022,7,10,43017464,0,12083143
P003,2022,7,20,53173724,0,14437376
P003,2022,7,30,278906,0,341159
P003,2022,8,10,181720,0,190162
P003,2022,8,20,73150,0,47099
P003,2022,8,30,202964,0,203584
P003,2022,9,10,44285780,0,9388498
P003,2022,9,20,38144,0,52081
P003,2022,9,30,33199996,0,8527253
P003,2022,10,10,125420752,0,27377846
P003,2022,10,20,311762,0,211066
P003,2022,10,30,278444,0,288603
P003,2022,11,10,54488968,0,8903036
P003,2022,11,20,45045792,0,8957695
P003,2022,11,30,93817,0,71560
P003,2022,12,10,270044,0,245835
P003,2022,12,20,51816520,0,11339559
P003,2022,12,30,56907,0,90456
P004,2017,1,10,681547200,0,136137952
P004,2017,1,20,737211200,0,126166104
P004,2017,1,30,713061056,0,159341440
P004,2017,2,10,535465312,0,104417768
P004,2017,2,20,591938368,0,126039368
P004,2017,2,30,708548480,0,123516592
P004,2017,3,10,647762240,0,142804320
P004,2017,3,20,525298752,0,101371856
P004,2017,3,30,709029440,0,157897168
P004,2017,4,10,506235008,0,90399552
P004,2017,4,20,688162816,0,117321592
P004,2017,4,30,713505152,0,137923536
P004,2017,5,10,350158880,0,70768456
